project,market_segment,district,tenure,property_type,price,area_sqm,area_sqft,contract_date_raw,contract_date,type_of_sale,floor_range
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3145820,195,2099.0,1121,2021-11,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4139770,226,2432.6,0721,2021-07,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3228150,194,2088.2,1021,2021-10,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3450000,200,2152.8,1221,2021-12,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3083590,199,2142.0,0921,2021-09,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3157910,195,2099.0,0921,2021-09,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3177660,194,2088.2,0921,2021-09,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,2852170,196,2109.7,0921,2021-09,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3140000,199,2142.0,1121,2021-11,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3240240,194,2088.2,0721,2021-07,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3125000,195,2099.0,0721,2021-07,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3108150,199,2142.0,0122,2022-01,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4169770,226,2432.6,0122,2022-01,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3282310,201,2163.5,0721,2021-07,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4049560,223,2400.3,0422,2022-04,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4068160,224,2411.1,0522,2022-05,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3254850,224,2411.1,0322,2022-03,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3254850,224,2411.1,0422,2022-04,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3071880,199,2142.0,0122,2022-01,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4448210,290,3121.5,0222,2022-02,3,06-10
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3399680,239,2572.6,1022,2022-10,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4127920,225,2421.9,0322,2022-03,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3150000,202,2174.3,0223,2023-02,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3232310,201,2163.5,0922,2022-09,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4630000,305,3283.0,1222,2022-12,3,06-10
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4115830,225,2421.9,1022,2022-10,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4650000,282,3035.4,0822,2022-08,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4609400,249,2680.2,0123,2023-01,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3380000,201,2163.5,1223,2023-12,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3500000,215,2314.2,0524,2024-05,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4397000,238,2561.8,0524,2024-05,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,3000000,201,2163.5,0124,2024-01,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,4610000,249,2680.2,1023,2023-10,3,01-05
TURQUOISE,CCR,04,99 yrs lease commencing from 2007,Condominium,9000000,641,6899.7,1024,2024-10,3,06-10
